iter	AUC	Logloss
425	0.9403955638	0.1544816091
426	0.940523833	0.1543554539
427	0.9405407906	0.1543042915
428	0.9405536354	0.1542003434
429	0.9406593144	0.1540614135
430	0.9407134056	0.1540041397
431	0.9407743514	0.1538926159
432	0.9408444464	0.1537933151
433	0.9408961236	0.153704964
434	0.9409508705	0.1536333345
435	0.9409933984	0.1535435829
436	0.9410586059	0.1534241121
437	0.9410745502	0.1533798357
438	0.9410763681	0.1533419043
439	0.9410850108	0.1532787842
440	0.9411108494	0.1532204175
441	0.9411461651	0.1531694992
442	0.9411993921	0.1530795459
443	0.9412572682	0.1530175399
444	0.941273123	0.152971672
445	0.9413509369	0.1529206052
446	0.9414043427	0.1528020256
447	0.9414688647	0.1527315527
448	0.9414696395	0.1526881464
449	0.9414877594	0.1526525067
450	0.9415005147	0.1525719329
451	0.9415273964	0.1525228183
452	0.9415258467	0.1524797303
453	0.9415313303	0.1524050451
454	0.9415570199	0.1523663497
455	0.9416042268	0.1522782002
456	0.9416711628	0.152187865
457	0.9417114556	0.1521074397
458	0.9417566359	0.1520030035
459	0.9418459535	0.151894631
460	0.9418819547	0.1518097388
461	0.9419505894	0.1517256742
462	0.9420057237	0.1516449624
463	0.9420529306	0.1515437306
464	0.9421289563	0.1514884939
465	0.942138046	0.1514017237
466	0.9422023594	0.1512985077
467	0.9422230422	0.1512035252
468	0.9423189461	0.1511064844
469	0.9423311353	0.1510630674
470	0.942332834	0.1510128494
471	0.9424151182	0.1508960523
472	0.9424483776	0.150831171
473	0.9424732327	0.1507618121
474	0.9425213039	0.1506248875
475	0.9425780773	0.1505367062
476	0.9426009953	0.1504548697
477	0.9426074326	0.1504278456
478	0.9426352084	0.1503089477
479	0.9426596165	0.1502263792
480	0.9426644146	0.1501944
481	0.9426853359	0.1501494128
482	0.9427225292	0.1500509396
483	0.9427494407	0.1499823871
484	0.9427928925	0.1498933357
485	0.9428284466	0.1498119979
486	0.9428713918	0.1497496842
487	0.9428812563	0.1497144796
488	0.9429523051	0.1496270198
489	0.9429893196	0.1495378092
490	0.9430400431	0.1494649172
491	0.9430804253	0.1493870383
492	0.943154484	0.1492863688
493	0.9431806207	0.1492217527
494	0.9432129562	0.1491471312
495	0.9432365596	0.1490941545
496	0.9432371557	0.1490007741
497	0.9432350099	0.148964604
498	0.9432715476	0.148897261
499	0.9432996511	0.1488146288
500	0.9433229566	0.1487492806
501	0.9433356822	0.148693089
502	0.9433963299	0.1486470938
503	0.9434227049	0.1485759418
504	0.94356215	0.1484808002
505	0.9435842633	0.148438752
506	0.9436427951	0.1483298702
507	0.9436830878	0.1482759279
508	0.9437158406	0.1481831524
509	0.9437531829	0.1481257406
510	0.9437888861	0.1480314902
511	0.9438811839	0.1479779936
512	0.9439084232	0.1479422691
513	0.9439617097	0.1478611541
514	0.9439785779	0.147821281
515	0.9439989924	0.1477726226
516	0.9440194666	0.1476851097
517	0.9440456927	0.1476094909
518	0.9440754354	0.1475475167
519	0.9441376626	0.1474231334
520	0.944144696	0.1473531273
521	0.9441708028	0.1472954503
522	0.9441882074	0.147249349
523	0.944232434	0.1472099851
524	0.9442502558	0.1471936879
525	0.9443038404	0.1471230876
526	0.9443465173	0.1470759041
527	0.9443507195	0.1470436385
528	0.9443610013	0.1470083065
529	0.9444612563	0.1469010162
530	0.9445080459	0.1468045377
531	0.9445131123	0.1467501604
532	0.9445311129	0.1467169505
533	0.9445723593	0.1466824143
534	0.9445965886	0.1466187319
535	0.9446497262	0.1465758031
536	0.944693774	0.1464984866
537	0.944734484	0.1464322153
538	0.9448482096	0.1463247764
539	0.9448970556	0.1462409346
540	0.9449089766	0.1461965416
541	0.9449687302	0.1461281589
542	0.9449745417	0.1460701848
543	0.9449900389	0.1460253673
544	0.945014745	0.1459633295
545	0.9450623691	0.1458901615
546	0.9451394379	0.1457897785
547	0.9451473951	0.1457179474
548	0.9451504052	0.1456912628
549	0.9451832473	0.1456363232
550	0.9452122748	0.1455828054
551	0.9452497065	0.1455214997
552	0.9452547431	0.1454794833
553	0.945307672	0.1454079387
554	0.9453413486	0.1453517896
555	0.9453873336	0.1452955873
556	0.9454787374	0.1452041911
557	0.9454945028	0.1451783553
558	0.9454976618	0.145129994
559	0.9455287755	0.1450507464
560	0.9455456734	0.1450256852
561	0.9455778897	0.144958894
562	0.9456136227	0.1449056945
563	0.9456321299	0.1448581502
564	0.9456513226	0.1447938311
565	0.9456873238	0.1447394963
566	0.9456930757	0.1447013739
567	0.9457565844	0.1446252988
568	0.9457537532	0.1446056275
569	0.9457569122	0.1445823487
570	0.9457766414	0.1445350697
571	0.9457825422	0.1444903159
572	0.9458200932	0.1444086492
573	0.9458450377	0.1443575293
574	0.9458996356	0.1443002448
575	0.9459914267	0.1442395226
576	0.9460540116	0.1441875645
577	0.9460902512	0.1441426303
578	0.9460999966	0.1440518389
579	0.9461214244	0.1440099074
580	0.9461830258	0.1439428828
581	0.9462341964	0.1438780439
582	0.9462665915	0.1438397835
583	0.9463145137	0.1437680692
584	0.9463412464	0.1437002063
585	0.9463545382	0.1436490758
586	0.9463925362	0.1435874518
587	0.9463966489	0.1435578599
588	0.9464078248	0.1435209152
589	0.9464618266	0.1434679704
590	0.9464777708	0.1434394926
591	0.9465359449	0.1433603511
592	0.9465510547	0.1433072259
593	0.9465888441	0.1432231189
594	0.9466512203	0.1431589802
595	0.9466776848	0.1431418978
596	0.9467109442	0.1430881784
597	0.9467992187	0.1430210583
598	0.9468193054	0.1429736519
599	0.9468674064	0.1429381714
600	0.94688797	0.1428573854
601	0.9468966126	0.14282895
602	0.9469305873	0.1427663605
603	0.9469374418	0.142726498
604	0.9469647408	0.1426835373
605	0.946988225	0.1426451496
606	0.9470313787	0.1425610001
607	0.9471030831	0.1425142622
608	0.9471562505	0.142457869
609	0.9471561313	0.1424504419
610	0.9471770525	0.1423981336
611	0.947204411	0.1423093899
612	0.9472610354	0.1422469808
613	0.9472873211	0.1421947468
614	0.9473257065	0.1421269264
615	0.9473868608	0.1420452703
616	0.9474058151	0.1420177369
617	0.947409153	0.1420031797
618	0.9474399686	0.1419550306
619	0.9474595189	0.1419234971
620	0.9474828243	0.1418906691
621	0.9474838972	0.1418872527
622	0.9475129247	0.1418080688
623	0.9475197792	0.1417601425
624	0.9475346804	0.1416959933
625	0.9475771785	0.1416244593
626	0.9475880861	0.1415739548
627	0.9475941658	0.1415458908
628	0.9475927949	0.1415268773
629	0.9476358294	0.1414722773
630	0.9476460218	0.1414317251
631	0.9476560354	0.1414194066
632	0.947670877	0.1413774115
633	0.9477350712	0.1413256125
634	0.9477669597	0.1412672246
635	0.9477834702	0.1412384816
636	0.9477884769	0.1412239244
637	0.9478347301	0.1411745764
638	0.9478593469	0.141125918
